Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora,ISIN,Ticker,Nominal,Mercado,Capital Admitido,Fecha,Hora,Cierre,Ref.,% Dif.,Últ.,Máx.,Mín.,Medio,Volumen,Efectivo
ACCIONA,"86,7000","-0,23","86,7000","85,1500",137.172,"11.840,31",30/10/2020,Cierre,ES0125220311,ANA,"1,00",Mercado Continuo,"54.856.653,00 Euros",30/10/2020,Cierre,"86,7000","86,9000","-0,23","86,7000","86,7000","85,1500","86,3172",137.172,"11.840.305,00"
ACERINOX,"6,8040","0,80","6,8140","6,6000",1.120.161,"7.567,77",30/10/2020,Cierre,ES0132105018,ACX,"0,25",Mercado Continuo,"67.636.548,25 Euros",30/10/2020,Cierre,"6,8040","6,7500","0,80","6,8040","6,8140","6,6000","6,7524",1.120.161,"7.567.769,44"
ACS,"20,4000","-0,29","20,7000","20,0100",1.175.194,"23.836,65",30/10/2020,Cierre,ES0167050915,ACS,"0,50",Mercado Continuo,"155.332.297,00 Euros",30/10/2020,Cierre,"20,4000","20,4600","-0,29","20,4000","20,7000","20,0100","20,2832",1.175.194,"23.836.652,72"
AENA,"115,6000","1,23","115,6000","111,3000",230.401,"26.478,73",30/10/2020,Cierre,ES0105046009,AENA,"10,00",Mercado Continuo,"1.500.000.000,00 Euros",30/10/2020,Cierre,"115,6000","114,2000","1,23","115,6000","115,6000","111,3000","114,9245",230.401,"26.478.726,50"
ALMIRALL,"9,1850","2,06","9,2450","8,8400",588.740,"5.375,53",30/10/2020,Cierre,ES0157097017,ALM,"0,12",Mercado Continuo,"21.373.875,24 Euros",30/10/2020,Cierre,"9,1850","9,0000","2,06","9,1850","9,2450","8,8400","9,1306",588.740,"5.375.525,99"
AMADEUS,"40,9900","-0,05","41,2200","40,2000",1.045.364,"42.722,88",30/10/2020,Cierre,ES0109067019,AMS,"0,01",Mercado Continuo,"4.504.992,05 Euros",30/10/2020,Cierre,"40,9900","41,0100","-0,05","40,9900","41,2200","40,2000","40,8576",1.045.364,"42.722.884,05"
ARCELORMIT.,"11,6800","0,69","11,7440","11,3700",486.661,"5.653,78",30/10/2020,Cierre,LU1598757687,MTS,0,Mercado Continuo,0,30/10/2020,Cierre,"11,6800","11,6000","0,69","11,6800","11,7440","11,3700","11,6175",486.661,"5.653.779,09"
B.SANTANDER,"1,7108","3,02","1,7170","1,6458",71.517.394,"121.392,15",30/10/2020,Cierre,ES0113900J37,SAN,"0,50",Mercado Continuo,"8.309.057.291,00 Euros",30/10/2020,Cierre,"1,7108","1,6606","3,02","1,7108","1,7170","1,6458","1,6972",71.517.394,"121.392.150,57"
BA.SABADELL,"0,2620","2,91","0,2620","0,2500",47.088.904,"12.094,92",30/10/2020,Cierre,ES0113860A34,SAB,"0,125",Mercado Continuo,"703.370.587,62 Euros",30/10/2020,Cierre,"0,2620","0,2546","2,91","0,2620","0,2620","0,2500","0,2569",47.088.904,"12.094.921,21"
BANKIA,"1,0520","-1,08","1,0720","1,0315",5.733.103,"6.025,50",30/10/2020,Cierre,ES0113307062,BKIA,"1,00",Mercado Continuo,"3.069.522.105,00 Euros",30/10/2020,Cierre,"1,0520","1,0635","-1,08","1,0520","1,0720","1,0315","1,0510",5.733.103,"6.025.500,37"
BANKINTER,"3,2170","1,68","3,2170","3,1200",3.388.712,"10.811,90",30/10/2020,Cierre,ES0113679I37,BKT,"0,30",Mercado Continuo,"269.659.846,20 Euros",30/10/2020,Cierre,"3,2170","3,1640","1,68","3,2170","3,2170","3,1200","3,1913",3.388.712,"10.811.895,86"
BBVA,"2,4620","5,26","2,4620","2,3320",23.553.071,"57.223,69",30/10/2020,Cierre,ES0113211835,BBVA,"0,49",Mercado Continuo,"3.267.264.424,20 Euros",30/10/2020,Cierre,"2,4620","2,3390","5,26","2,4620","2,4620","2,3320","2,4296",23.553.071,"57.223.689,32"
CAIXABANK,"1,5620","-0,76","1,5820","1,5180",19.619.151,"30.422,19",30/10/2020,Cierre,ES0140609019,CABK,"1,00",Mercado Continuo,"5.981.438.031,00 Euros",30/10/2020,Cierre,"1,5620","1,5740","-0,76","1,5620","1,5820","1,5180","1,5520",19.619.151,"30.422.186,19"
CELLNEX,"55,1200","3,03","55,1200","53,1800",1.061.339,"58.158,67",30/10/2020,Cierre,ES0105066007,CLNX,"0,25",Mercado Continuo,"121.677.167,25 Euros",30/10/2020,Cierre,"55,1200","53,5000","3,03","55,1200","55,1200","53,1800","54,7974",1.061.339,"58.158.668,62"
CIE AUTOMOT.,"16,8000","2,19","16,8000","16,1000",357.600,"5.954,26",30/10/2020,Cierre,ES0105630315,CIE,"0,25",Mercado Continuo,"32.250.000,00 Euros",30/10/2020,Cierre,"16,8000","16,4400","2,19","16,8000","16,8000","16,1000","16,6506",357.600,"5.954.263,28"
ENAGAS,"18,5300","0,32","18,6200","18,3150",994.202,"18.377,42",30/10/2020,Cierre,ES0130960018,ENG,"1,50",Mercado Continuo,"392.985.111,00 Euros",30/10/2020,Cierre,"18,5300","18,4700","0,32","18,5300","18,6200","18,3150","18,4846",994.202,"18.377.416,05"
ENDESA,"23,0100","1,50","23,0100","22,4100",1.060.191,"24.307,10",30/10/2020,Cierre,ES0130670112,ELE,"1,20",Mercado Continuo,"1.270.502.540,40 Euros",30/10/2020,Cierre,"23,0100","22,6700","1,50","23,0100","23,0100","22,4100","22,9320",1.060.191,"24.307.102,54"
FERROVIAL,"18,5750","-2,57","18,7600","18,1800",1.569.682,"29.064,40",30/10/2020,Cierre,ES0118900010,FER,"0,20",Mercado Continuo,"148.270.086,40 Euros",30/10/2020,Cierre,"18,5750","19,0650","-2,57","18,5750","18,7600","18,1800","18,5142",1.569.682,"29.064.404,16"
GRIFOLS CL.A,"23,1900","-0,64","23,3300","22,9600",884.770,"20.493,26",30/10/2020,Cierre,ES0171996087,GRF,"0,25",Mercado Continuo,"106.532.449,50 Euros",30/10/2020,Cierre,"23,1900","23,3400","-0,64","23,1900","23,3300","22,9600","23,1620",884.770,"20.493.261,67"
IAG,"1,0680","5,59","1,0690","0,9820",23.360.420,"24.132,72",30/10/2020,Cierre,ES0177542018,IAG,"0,10",Mercado Continuo,"497.147.601,00 Euros",30/10/2020,Cierre,"1,0680","1,0115","5,59","1,0680","1,0690","0,9820","1,0331",23.360.420,"24.132.721,48"
IBERDROLA,"10,1250","-0,93","10,2800","10,0750",16.866.396,"171.302,24",30/10/2020,Cierre,ES0144580Y14,IBE,"0,75",Mercado Continuo,"4.762.545.750,00 Euros",30/10/2020,Cierre,"10,1250","10,2200","-0,93","10,1250","10,2800","10,0750","10,1466",16.866.396,"171.302.243,11"
INDITEX,"21,1900","-0,84","21,5000","21,0200",8.591.109,"181.996,43",30/10/2020,Cierre,ES0148396007,ITX,"0,03",Mercado Continuo,"93.499.560,00 Euros",30/10/2020,Cierre,"21,1900","21,3700","-0,84","21,1900","21,5000","21,0200","21,2306",8.591.109,"181.996.428,11"
INDRA A,"5,1500","0,39","5,3000","5,0300",1.076.498,"5.555,21",30/10/2020,Cierre,ES0118594417,IDR,"0,20",Mercado Continuo,"35.330.880,40 Euros",30/10/2020,Cierre,"5,1500","5,1300","0,39","5,1500","5,3000","5,0300","5,1604",1.076.498,"5.555.205,67"
INM.COLONIAL,"6,1050","2,09","6,1050","5,8800",883.479,"5.352,94",30/10/2020,Cierre,ES0139140174,COL,"2,50",Mercado Continuo,"1.270.286.952,50 Euros",30/10/2020,Cierre,"6,1050","5,9800","2,09","6,1050","6,1050","5,8800","6,0546",883.479,"5.352.937,65"
MAPFRE,"1,2940","0,86","1,2990","1,2430",7.018.585,"8.982,68",30/10/2020,Cierre,ES0124244E34,MAP,"0,10",Mercado Continuo,"307.955.327,30 Euros",30/10/2020,Cierre,"1,2940","1,2830","0,86","1,2940","1,2990","1,2430","1,2798",7.018.585,"8.982.683,41"
MELIA HOTELS,"3,1800","3,52","3,1800","3,0000",1.579.150,"4.913,43",30/10/2020,Cierre,ES0176252718,MEL,"0,20",Mercado Continuo,"44.080.000,00 Euros",30/10/2020,Cierre,"3,1800","3,0720","3,52","3,1800","3,1800","3,0000","3,1114",1.579.150,"4.913.432,27"
MERLIN,"5,7750","0,52","5,7900","5,6250",1.306.089,"7.473,92",30/10/2020,Cierre,ES0105025003,MRL,"1,00",Mercado Continuo,"469.770.750,00 Euros",30/10/2020,Cierre,"5,7750","5,7450","0,52","5,7750","5,7900","5,6250","5,7184",1.306.089,"7.473.916,84"
