Nombre,Ticker,ISIN,Fecha,Cierre,Referencia,Volumen,Efectivo,Último,Máximo,Mínimo,Medio
ACCIONA,ANA,ES0125220311,04/11/2019,"92,8500","93,1000",170.840,"15.933.948,30","92,8500","93,9500","92,8500","93,3113"
ACCIONA,ANA,ES0125220311,05/11/2019,"92,4500","92,8500",86.279,"7.986.331,30","92,4500","94,0000","91,8500","92,5278"
ACCIONA,ANA,ES0125220311,06/11/2019,"92,7000","92,4500",73.620,"6.835.435,75","92,7000","93,3000","92,0500","92,8410"
ACCIONA,ANA,ES0125220311,07/11/2019,"92,7500","92,7000",69.081,"6.420.719,65","92,7500","93,8000","92,2500","92,9448"
ACCIONA,ANA,ES0125220311,08/11/2019,"94,6000","92,7500",130.028,"12.336.339,30","94,6000","96,3000","91,8000","94,8745"
ACCIONA,ANA,ES0125220311,11/11/2019,"94,2500","94,6000",73.666,"6.942.905,60","94,2500","95,0000","93,5000","94,2484"
ACCIONA,ANA,ES0125220311,12/11/2019,"93,8000","94,2500",78.453,"7.418.291,60","93,8000","95,8000","93,5500","94,5571"
ACCIONA,ANA,ES0125220311,13/11/2019,"91,0000","93,8000",98.928,"9.041.429,80","91,0000","93,3500","90,6500","91,3940"
ACCIONA,ANA,ES0125220311,14/11/2019,"91,2000","91,0000",66.814,"6.097.189,94","91,2000","91,8000","90,3500","91,2560"
ACCIONA,ANA,ES0125220311,15/11/2019,"91,4500","91,2000",148.490,"13.561.573,85","91,4500","92,0500","90,3000","91,3104"
ACCIONA,ANA,ES0125220311,18/11/2019,"91,8500","91,4500",67.525,"6.208.552,35","91,8500","92,3500","91,4500","91,9445"
ACCIONA,ANA,ES0125220311,19/11/2019,"92,4500","91,8500",258.077,"23.851.525,36","92,4500","93,0000","91,6500","92,3623"
ACCIONA,ANA,ES0125220311,20/11/2019,"92,2000","92,4500",135.339,"12.468.660,50","92,2000","92,5500","91,5000","92,0563"
ACCIONA,ANA,ES0125220311,21/11/2019,"91,3000","92,2000",154.778,"14.203.166,60","91,3000","92,5000","91,2000","91,7003"
ACCIONA,ANA,ES0125220311,22/11/2019,"92,7000","91,3000",136.353,"12.581.733,20","92,7000","93,0500","91,5000","92,4100"
ACCIONA,ANA,ES0125220311,25/11/2019,"93,4000","92,7000",61.692,"5.787.106,25","93,4000","94,4500","93,0000","93,8064"
ACCIONA,ANA,ES0125220311,26/11/2019,"93,4000","93,4000",75.184,"7.029.091,95","93,4000","94,0500","92,7000","93,4919"
ACCIONA,ANA,ES0125220311,27/11/2019,"93,7500","93,4000",84.368,"7.942.615,15","93,7500","95,0000","93,4500","94,1246"
