Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora,ISIN,Ticker,Nominal,Mercado,Capital Admitido,Fecha,Hora,Cierre,Ref.,% Dif.,Últ.,Máx.,Mín.,Medio,Volumen,Efectivo
ACCIONA,"89,9000","-2,34","91,6000","89,3000",201.994,"18.334,83",28/10/2020,Cierre,ES0125220311,ANA,"1,00",Mercado Continuo,"54.856.653,00 Euros",28/10/2020,Cierre,"89,9000","92,0500","-2,34","89,9000","91,6000","89,3000","90,6222",201.994,"18.334.828,71"
ACERINOX,"6,8940","-5,59","7,1800","6,8100",1.430.045,"9.958,65",28/10/2020,Cierre,ES0132105018,ACX,"0,25",Mercado Continuo,"67.636.548,25 Euros",28/10/2020,Cierre,"6,8940","7,3020","-5,59","6,8940","7,1800","6,8100","6,9639",1.430.045,"9.958.648,48"
ACS,"20,0800","-4,38","20,9300","20,0800",1.210.161,"24.640,18",28/10/2020,Cierre,ES0167050915,ACS,"0,50",Mercado Continuo,"155.332.297,00 Euros",28/10/2020,Cierre,"20,0800","21,0000","-4,38","20,0800","20,9300","20,0800","20,3540",1.210.161,"24.640.179,44"
AENA,"114,3000","-3,79","116,4000","111,7000",389.294,"44.653,07",28/10/2020,Cierre,ES0105046009,AENA,"10,00",Mercado Continuo,"1.500.000.000,00 Euros",28/10/2020,Cierre,"114,3000","118,8000","-3,79","114,3000","116,4000","111,7000","114,0711",389.294,"44.653.068,30"
ALMIRALL,"9,0100","-3,43","9,2150","8,9750",531.672,"4.806,66",28/10/2020,Cierre,ES0157097017,ALM,"0,12",Mercado Continuo,"21.373.875,24 Euros",28/10/2020,Cierre,"9,0100","9,3300","-3,43","9,0100","9,2150","8,9750","9,0406",531.672,"4.806.655,53"
AMADEUS,"40,3500","-4,99","41,5000","40,1200",2.488.778,"100.850,36",28/10/2020,Cierre,ES0109067019,AMS,"0,01",Mercado Continuo,"4.504.992,05 Euros",28/10/2020,Cierre,"40,3500","42,4700","-4,99","40,3500","41,5000","40,1200","40,5419",2.488.778,"100.850.359,82"
ARCELORMIT.,"11,6300","-1,37","11,7900","11,3400",701.732,"8.120,25",28/10/2020,Cierre,LU1598757687,MTS,0,Mercado Continuo,0,28/10/2020,Cierre,"11,6300","11,7920","-1,37","11,6300","11,7900","11,3400","11,5717",701.732,"8.120.254,14"
B.SANTANDER,"1,6438","-3,17","1,7010","1,6284",85.318.644,"141.286,65",28/10/2020,Cierre,ES0113900J37,SAN,"0,50",Mercado Continuo,"8.309.057.291,00 Euros",28/10/2020,Cierre,"1,6438","1,6976","-3,17","1,6438","1,7010","1,6284","1,6559",85.318.644,"141.286.651,04"
BA.SABADELL,"0,2609","-4,08","0,2681","0,2566",68.766.215,"18.046,60",28/10/2020,Cierre,ES0113860A34,SAB,"0,125",Mercado Continuo,"703.370.587,62 Euros",28/10/2020,Cierre,"0,2609","0,2720","-4,08","0,2609","0,2681","0,2566","0,2624",68.766.215,"18.046.603,14"
BANKIA,"1,0620","-2,61","1,0960","1,0550",5.096.983,"5.485,72",28/10/2020,Cierre,ES0113307062,BKIA,"1,00",Mercado Continuo,"3.069.522.105,00 Euros",28/10/2020,Cierre,"1,0620","1,0905","-2,61","1,0620","1,0960","1,0550","1,0763",5.096.983,"5.485.717,00"
BANKINTER,"3,1580","-3,22","3,2470","3,0860",5.405.490,"17.142,84",28/10/2020,Cierre,ES0113679I37,BKT,"0,30",Mercado Continuo,"269.659.846,20 Euros",28/10/2020,Cierre,"3,1580","3,2630","-3,22","3,1580","3,2470","3,0860","3,1714",5.405.490,"17.142.837,92"
BBVA,"2,3660","-1,66","2,4040","2,3050",29.533.996,"69.787,55",28/10/2020,Cierre,ES0113211835,BBVA,"0,49",Mercado Continuo,"3.267.264.424,20 Euros",28/10/2020,Cierre,"2,3660","2,4060","-1,66","2,3660","2,4040","2,3050","2,3632",29.533.996,"69.787.549,15"
CAIXABANK,"1,5715","-2,99","1,6170","1,5595",17.336.908,"27.510,38",28/10/2020,Cierre,ES0140609019,CABK,"1,00",Mercado Continuo,"5.981.438.031,00 Euros",28/10/2020,Cierre,"1,5715","1,6200","-2,99","1,5715","1,6170","1,5595","1,5868",17.336.908,"27.510.382,49"
CELLNEX,"53,9200","0,60","54,5200","53,2000",919.293,"49.508,06",28/10/2020,Cierre,ES0105066007,CLNX,"0,25",Mercado Continuo,"121.677.167,25 Euros",28/10/2020,Cierre,"53,9200","53,6000","0,60","53,9200","54,5200","53,2000","53,8545",919.293,"49.508.061,24"
CIE AUTOMOT.,"15,9300","-2,81","16,8300","15,8100",443.206,"7.151,96",28/10/2020,Cierre,ES0105630315,CIE,"0,25",Mercado Continuo,"32.250.000,00 Euros",28/10/2020,Cierre,"15,9300","16,3900","-2,81","15,9300","16,8300","15,8100","16,1333",443.206,"7.151.964,59"
ENAGAS,"18,9000","-1,89","19,2100","18,7500",1.262.252,"23.941,30",28/10/2020,Cierre,ES0130960018,ENG,"1,50",Mercado Continuo,"392.985.111,00 Euros",28/10/2020,Cierre,"18,9000","19,2650","-1,89","18,9000","19,2100","18,7500","18,9666",1.262.252,"23.941.297,84"
ENDESA,"22,7700","-3,39","23,3000","22,6000",1.282.500,"29.326,14",28/10/2020,Cierre,ES0130670112,ELE,"1,20",Mercado Continuo,"1.270.502.540,40 Euros",28/10/2020,Cierre,"22,7700","23,5700","-3,39","22,7700","23,3000","22,6000","22,8664",1.282.500,"29.326.138,71"
FERROVIAL,"19,4600","-3,14","19,8100","19,1400",4.560.762,"89.257,12",28/10/2020,Cierre,ES0118900010,FER,"0,20",Mercado Continuo,"148.270.086,40 Euros",28/10/2020,Cierre,"19,4600","20,0900","-3,14","19,4600","19,8100","19,1400","19,4315",4.560.762,"89.257.120,89"
GRIFOLS CL.A,"23,7900","-2,66","24,2700","23,5600",1.143.815,"27.375,99",28/10/2020,Cierre,ES0171996087,GRF,"0,25",Mercado Continuo,"106.532.449,50 Euros",28/10/2020,Cierre,"23,7900","24,4400","-2,66","23,7900","24,2700","23,5600","23,8564",1.143.815,"27.375.987,27"
IAG,"1,0325","-3,23","1,0535","1,0035",22.541.956,"23.144,37",28/10/2020,Cierre,ES0177542018,IAG,"0,10",Mercado Continuo,"497.147.601,00 Euros",28/10/2020,Cierre,"1,0325","1,0670","-3,23","1,0325","1,0535","1,0035","1,0266",22.541.956,"23.144.373,78"
IBERDROLA,"10,3350","-2,50","10,5500","10,2400",27.254.925,"283.632,97",28/10/2020,Cierre,ES0144580Y14,IBE,"0,75",Mercado Continuo,"4.762.545.750,00 Euros",28/10/2020,Cierre,"10,3350","10,6000","-2,50","10,3350","10,5500","10,2400","10,3580",27.254.925,"283.632.971,89"
INDITEX,"21,8300","-3,49","22,2600","21,5100",5.061.414,"110.659,84",28/10/2020,Cierre,ES0148396007,ITX,"0,03",Mercado Continuo,"93.499.560,00 Euros",28/10/2020,Cierre,"21,8300","22,6200","-3,49","21,8300","22,2600","21,5100","21,8511",5.061.414,"110.659.835,57"
INDRA A,"5,3700","-5,29","5,7400","5,3550",1.733.694,"9.572,12",28/10/2020,Cierre,ES0118594417,IDR,"0,20",Mercado Continuo,"35.330.880,40 Euros",28/10/2020,Cierre,"5,3700","5,6700","-5,29","5,3700","5,7400","5,3550","5,5110",1.733.694,"9.572.123,56"
INM.COLONIAL,"6,0200","-2,43","6,1000","5,8900",1.259.504,"7.558,40",28/10/2020,Cierre,ES0139140174,COL,"2,50",Mercado Continuo,"1.270.286.952,50 Euros",28/10/2020,Cierre,"6,0200","6,1700","-2,43","6,0200","6,1000","5,8900","6,0011",1.259.504,"7.558.395,78"
MAPFRE,"1,2800","-0,78","1,2880","1,2320",9.482.233,"11.992,22",28/10/2020,Cierre,ES0124244E34,MAP,"0,10",Mercado Continuo,"307.955.327,30 Euros",28/10/2020,Cierre,"1,2800","1,2900","-0,78","1,2800","1,2880","1,2320","1,2630",9.482.233,"11.992.215,52"
MELIA HOTELS,"3,0100","-3,53","3,0740","2,9420",2.098.230,"6.285,59",28/10/2020,Cierre,ES0176252718,MEL,"0,20",Mercado Continuo,"44.080.000,00 Euros",28/10/2020,Cierre,"3,0100","3,1200","-3,53","3,0100","3,0740","2,9420","2,9957",2.098.230,"6.285.590,36"
MERLIN,"5,7300","-3,62","5,8500","5,6500",2.267.214,"13.012,11",28/10/2020,Cierre,ES0105025003,MRL,"1,00",Mercado Continuo,"469.770.750,00 Euros",28/10/2020,Cierre,"5,7300","5,9450","-3,62","5,7300","5,8500","5,6500","5,7392",2.267.214,"13.012.109,46"
NATURGY,"16,4000","-5,61","17,2000","16,1400",1.963.677,"32.310,67",28/10/2020,Cierre,ES0116870314,NTGY,"1,00",Mercado Continuo,"969.613.801,00 Euros",28/10/2020,Cierre,"16,4000","17,3750","-5,61","16,4000","17,2000","16,1400","16,4542",1.963.677,"32.310.668,64"
PHARMA MAR,"110,3000","0,36","123,6000","109,2000",389.447,"44.293,70",28/10/2020,Cierre,ES0169501022,PHM,"0,60",Mercado Continuo,"11.132.464,20 Euros",28/10/2020,Cierre,"110,3000","109,9000","0,36","110,3000","123,6000","109,2000","113,7349",389.447,"44.293.699,50"
R.E.C.,"15,5800","-2,17","15,9350","15,5500",1.845.460,"28.870,44",28/10/2020,Cierre,ES0173093024,REE,"0,50",Mercado Continuo,"270.540.000,00 Euros",28/10/2020,Cierre,"15,5800","15,9250","-2,17","15,5800","15,9350","15,5500","15,6440",1.845.460,"28.870.442,69"
REPSOL,"5,2720","-3,44","5,3960","5,1500",15.663.400,"82.489,69",28/10/2020,Cierre,ES0173516115,REP,"1,00",Mercado Continuo,"1.626.379.018,00 Euros",28/10/2020,Cierre,"5,2720","5,4600","-3,44","5,2720","5,3960","5,1500","5,2593",15.663.400,"82.489.692,40"
SIEMENS GAME,"24,4300","-1,37","24,8700","23,9000",1.808.355,"44.187,05",28/10/2020,Cierre,ES0143416115,SGRE,"0,17",Mercado Continuo,"115.794.374,94 Euros",28/10/2020,Cierre,"24,4300","24,7700","-1,37","24,4300","24,8700","23,9000","24,4152",1.808.355,"44.187.045,40"
SOLARIA,"15,7400","-1,50","16,1400","15,6400",670.885,"10.624,46",28/10/2020,Cierre,ES0165386014,SLR,"0,01",Mercado Continuo,"1.249.508,76 Euros",28/10/2020,Cierre,"15,7400","15,9800","-1,50","15,7400","16,1400","15,6400","15,8365",670.885,"10.624.455,50"
TELEFONICA,"2,9690","-0,87","3,0030","2,9070",24.956.270,"73.742,11",28/10/2020,Cierre,ES0178430E18,TEF,"1,00",Mercado Continuo,"5.328.437.672,00 Euros",28/10/2020,Cierre,"2,9690","2,9950","-0,87","2,9690","3,0030","2,9070","2,9531",24.956.270,"73.742.114,92"
VISCOFAN,"53,6500","-1,56","54,3000","53,4500",92.873,"4.997,47",28/10/2020,Cierre,ES0184262212,VIS,"0,70",Mercado Continuo,"32.550.000,00 Euros",28/10/2020,Cierre,"53,6500","54,5000","-1,56","53,6500","54,3000","53,4500","53,8097",92.873,"4.997.467,70"
